Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating,,
55,Male,Master's,Divorced,56380,758,40216,Personal,Self-employed,6,Excellent,0.149673226,179718,1,Riddleville,NM,Mexico,0,2,High,,
28,Female,Master's,Married,55985,683,43661,Personal,Employed,13,Fair,0.435383283,247277,2,Kathleenmouth,WY,New Zealand,4,2,Low,,
60,Male,Bachelor's,Married,48805,737,13853,Business,Employed,6,Poor,0.278884656,149468,0,West Michaelberg,AK,New Zealand,1,2,Low,,
53,Male,High School,Single,90345,779,23181,Home,Self-employed,12,Fair,0.224792324,273425,0,Morgantown,SC,Gabon,1,1,Medium,,
29,Female,High School,Single,31955,684,43989,Business,Unemployed,12,Poor,0.339846184,93732,4,East Taylor,AZ,Cape Verde,2,2,Medium,,
39,Male,Bachelor's,Single,114182,788,29990,Business,Self-employed,8,Excellent,0.41174122,109842,4,Davisfort,AS,Andorra,4,0,Low,,
43,Male,Master's,Single,78209,756,38755,Home,Unemployed,13,Fair,0.138585759,194063,3,Ashleychester,OK,Bhutan,1,1,Low,,
34,Male,PhD,Single,109666,669,39599,Business,Unemployed,3,Poor,0.504544475,204446,0,Veronicamouth,AS,Norway,1,0,Medium,,
50,Male,PhD,Widowed,26677,751,14708,Business,Employed,7,Good,0.568656345,43175,2,South Michaelbury,SD,Namibia,2,1,Low,,
40,Male,Bachelor's,Widowed,23487,679,37928,Business,Employed,16,Good,0.548518531,287466,1,Lake Angelashire,IA,South Africa,0,2,Low,,
43,Female,High School,Single,61798,653,16048,Auto,Employed,5,Fair,0.417949739,30769,1,Port Danielle,PR,Singapore,0,2,High,,
43,Male,Bachelor's,Married,115341,667,43640,Business,Employed,4,Good,0.556176885,98873,0,Lake Caitlin,MO,South Africa,3,1,Low,,
44,Male,Master's,Married,91129,733,28923,Business,Self-employed,14,Poor,0.359394032,167719,0,Krausestad,MO,Somalia,1,0,Medium,,
68,Non-binary,PhD,Single,96028,628,33670,Auto,Employed,14,Excellent,0.261733238,226070,4,Amandashire,MO,Nigeria,0,1,High,,
66,Male,Master's,Married,106181,791,41748,Personal,Self-employed,1,Good,0.126327971,125555,0,Ericmouth,LA,Serbia,3,1,Medium,,
50,Non-binary,Bachelor's,Widowed,38243,768,6526,Home,Employed,11,Excellent,0.401038255,71650,3,Garciachester,MS,Samoa,1,2,Low,,
53,Male,Master's,Widowed,109622,644,19008,Business,Unemployed,13,Good,0.348430763,113344,2,New Scottburgh,KY,Dominica,4,1,Low,,
67,Non-binary,PhD,Widowed,117739,732,36335,Personal,Self-employed,18,Poor,0.531414055,203932,4,West Brent,NE,Netherlands Antilles,2,0,Medium,,
60,Female,Master's,Divorced,72483,774,39729,Personal,Unemployed,5,Excellent,0.129155499,203978,2,East Michelleland,DC,Russian Federation,4,1,High,,
19,Female,Master's,Single,110502,655,39218,Auto,Self-employed,1,Good,0.440230337,285565,3,Phillipsville,AL,Montserrat,4,0,Low,,
36,Female,Bachelor's,Divorced,79507,739,39825,Home,Unemployed,8,Fair,0.26667546,114379,1,Baileyburgh,NY,Western Sahara,3,2,Low,,
60,Female,High School,Widowed,101259,635,5594,Personal,Self-employed,9,Excellent,0.158052955,262368,3,Susanchester,PA,Angola,1,2,Medium,,
29,Non-binary,High School,Married,62213,719,16036,Personal,Self-employed,18,Fair,0.104980266,173093,4,New Marioberg,FM,Uzbekistan,0,1,Low,,
40,Non-binary,PhD,Married,45525,666,45392,Personal,Self-employed,8,Fair,0.233718414,197435,2,Johnbury,OR,Vanuatu,0,2,Low,,
62,Male,PhD,Divorced,108568,798,15051,Home,Employed,4,Poor,0.187800216,124685,2,Faithborough,WI,Spain,0,2,Medium,,
52,Male,PhD,Married,64852,602,43555,Personal,Self-employed,17,Excellent,0.361896796,137653,0,Lauraton,NC,Australia,3,0,Low,,
59,Female,PhD,Divorced,113913,639,15709,Business,Unemployed,11,Poor,0.439634221,275907,4,Douglasmouth,AZ,Antarctica (the territory South of 60 deg S),3,1,Low,,
25,Non-binary,PhD,Widowed,93588,650,15620,Personal,Employed,7,Fair,0.389558732,45571,2,Dawnfurt,IL,Reunion,0,1,Low,,
42,Male,Master's,Divorced,43500,648,5129,Auto,Self-employed,3,Excellent,0.151740142,260707,0,Stanleyshire,WV,United Arab Emirates,2,1,Medium,,
55,Male,Master's,Widowed,61423,739,21659,Business,Unemployed,1,Fair,0.266154006,130013,3,Greenstad,AS,Guinea,1,0,Low,,
58,Non-binary,Bachelor's,Single,25461,768,24419,Auto,Self-employed,4,Good,0.587845973,167155,1,Choiberg,WI,Namibia,3,0,High,,
63,Non-binary,Bachelor's,Widowed,114200,606,29329,Personal,Unemployed,16,Excellent,0.357838604,146348,4,Timothyborough,GU,Cameroon,4,2,Medium,,
46,Female,High School,Single,67404,783,26008,Personal,Employed,8,Fair,0.303486426,171597,3,Lindaville,IN,Georgia,2,1,Medium,,
21,Male,PhD,Married,35362,755,11546,Auto,Self-employed,17,Poor,0.408717578,175675,0,Kevinbury,GA,Bouvet Island (Bouvetoya),2,2,Medium,,
49,Female,High School,Married,118279,685,44812,Home,Self-employed,11,Fair,0.338918648,193205,0,Port Tina,MI,Nauru,2,2,Low,,
54,Male,Master's,Divorced,104559,737,11703,Personal,Employed,12,Good,0.337531887,276912,2,Perryhaven,SC,Colombia,1,0,Medium,,
24,Female,PhD,Divorced,81134,675,35068,Home,Self-employed,14,Good,0.222141747,190284,1,New Daniel,SC,Pakistan,4,1,Medium,,
25,Female,Bachelor's,Married,71030,704,38907,Business,Self-employed,16,Poor,0.404250233,290515,1,Rosschester,MS,Belize,2,2,Low,,
57,Male,Master's,Divorced,78916,604,9993,Business,Unemployed,18,Excellent,0.551068591,225108,1,Phamview,NH,Slovakia (Slovak Republic),2,2,Medium,,
54,Female,PhD,Widowed,118598,719,38460,Business,Employed,16,Fair,0.501988619,216857,3,West Angelhaven,MA,Bangladesh,2,0,Low,,
47,Female,Master's,Divorced,78735,769,46961,Business,Self-employed,5,Good,0.501244373,255263,0,Angelicafurt,TN,Colombia,1,0,Low,,
64,Male,High School,Widowed,119500,725,47174,Business,Self-employed,19,Excellent,0.553357054,235087,2,Jamesfort,LA,Uganda,4,0,Low,,
18,Female,Bachelor's,Widowed,91819,653,46360,Home,Self-employed,11,Excellent,0.505514057,155063,3,Mitchellborough,CO,Cuba,1,0,Low,,
18,Female,Bachelor's,Widowed,83436,688,36568,Business,Employed,13,Fair,0.180271983,153571,2,Marisaview,VT,North Macedonia,3,2,Medium,,
38,Male,High School,Married,59305,797,35495,Auto,Self-employed,6,Poor,0.420784371,124669,2,Micheleville,DE,Jamaica,1,1,Low,,
21,Female,Master's,Single,115148,769,40868,Personal,Unemployed,10,Fair,0.441856984,124984,4,Villarrealville,NV,Suriname,1,1,Low,,
68,Female,Master's,Single,52121,789,44980,Auto,Employed,6,Poor,0.188130979,244624,2,Butlerborough,TX,France,2,1,Low,,
21,Female,Master's,Widowed,54227,682,23780,Personal,Employed,3,Poor,0.182902415,203745,2,Devinstad,NY,Uganda,2,2,Low,,
52,Female,Bachelor's,Single,74086,771,8557,Business,Self-employed,3,Fair,0.262633729,239275,0,Simpsonfort,WI,Croatia,0,0,Medium,,
42,Male,High School,Divorced,69573,604,36281,Business,Unemployed,12,Poor,0.533855186,220136,0,Lake Taylormouth,KY,Paraguay,4,1,Medium,,
30,Male,High School,Divorced,107630,657,27776,Personal,Self-employed,18,Poor,0.51589196,143800,4,Lake Martin,UT,Jordan,1,1,Medium,,
37,Female,Master's,Widowed,63341,643,33999,Business,Self-employed,17,Fair,0.262490159,71710,3,Jonesstad,VI,Uganda,1,2,Medium,,
51,Male,Bachelor's,Married,22766,774,44307,Home,Unemployed,16,Poor,0.267092501,212794,2,Port Tammy,TX,Somalia,1,2,Medium,,
49,Male,Master's,Widowed,66901,729,6725,Personal,Employed,7,Fair,0.111682151,71557,2,East Tamitown,KY,Slovakia (Slovak Republic),2,1,Low,,
56,Female,Master's,Married,105970,785,20876,Business,Unemployed,6,Excellent,0.293463057,244024,2,Fisherfurt,KY,Jamaica,2,0,Low,,
64,Non-binary,PhD,Divorced,43485,734,25878,Auto,Employed,4,Excellent,0.515975865,120485,2,West Gerald,OH,Gambia,3,2,Low,,
67,Non-binary,Bachelor's,Married,57538,759,45957,Auto,Employed,3,Good,0.501034719,144912,0,Lake Baileychester,VI,Paraguay,4,1,Low,,
23,Female,High School,Single,110724,746,6011,Auto,Self-employed,9,Good,0.361240821,36257,1,New Kimberly,SD,Nauru,3,2,Low,,
62,Non-binary,Bachelor's,Single,36163,667,26940,Business,Unemployed,14,Good,0.277411586,217694,4,Hoovermouth,VI,Botswana,0,1,Medium,,
64,Male,PhD,Widowed,94426,711,28099,Home,Self-employed,17,Good,0.144073159,109365,0,South Courtneyside,MP,Cuba,3,0,Medium,,
28,Non-binary,Master's,Married,86553,678,10544,Auto,Unemployed,2,Fair,0.169868206,149372,3,Ellisside,NC,Tuvalu,2,1,Low,,
59,Male,PhD,Widowed,43731,785,36107,Home,Self-employed,10,Poor,0.598908779,166812,2,South Charles,NC,Vanuatu,0,0,Low,,
18,Male,Master's,Widowed,28758,688,45214,Auto,Employed,12,Excellent,0.373077313,250275,4,Conradside,TN,Bangladesh,3,1,Low,,
56,Female,PhD,Widowed,63835,739,6294,Personal,Unemployed,11,Fair,0.186421817,289269,4,Riosview,UT,Ireland,4,0,Low,,
40,Female,PhD,Divorced,113949,720,42711,Auto,Unemployed,2,Poor,0.421505902,255839,2,Ashleybury,MA,British Virgin Islands,3,1,Low,,
46,Female,Bachelor's,Married,87551,791,49066,Home,Employed,13,Poor,0.480174598,234639,3,Port Amy,ID,Paraguay,1,0,Low,,
33,Male,High School,Widowed,99304,624,41842,Personal,Employed,13,Good,0.251414502,273272,1,East Tylershire,FM,Japan,1,1,Low,,
47,Male,PhD,Married,48502,724,26575,Home,Employed,4,Poor,0.28715365,160690,0,Jessicaville,DC,Cameroon,0,1,Low,,
42,Non-binary,PhD,Married,103785,647,8547,Business,Self-employed,17,Fair,0.272825146,40192,2,Elizabethburgh,GA,Georgia,1,1,Low,,
36,Female,Master's,Widowed,25818,693,26160,Business,Unemployed,18,Fair,0.418630599,77508,2,Leslietown,NJ,Cote d'Ivoire,1,2,Low,,
64,Female,High School,Divorced,111963,734,20300,Auto,Unemployed,7,Poor,0.390625168,137461,3,South William,DC,Nigeria,0,1,Low,,
55,Male,Bachelor's,Widowed,106940,679,9819,Personal,Employed,4,Poor,0.39823591,155589,4,Mcleanville,ID,United Arab Emirates,3,2,Low,,
45,Non-binary,Bachelor's,Divorced,64456,743,46099,Auto,Employed,15,Excellent,0.165034601,54806,1,Janiceland,MI,Sao Tome and Principe,0,1,High,,
47,Female,PhD,Divorced,113012,796,8560,Business,Self-employed,7,Poor,0.198221356,186122,0,New Caleb,NM,Bahrain,3,2,Low,,
66,Non-binary,High School,Single,74604,652,32030,Home,Unemployed,1,Good,0.47045682,57873,2,South Michele,NE,Bahrain,2,0,Low,,
42,Male,Master's,Widowed,33351,739,45294,Auto,Self-employed,14,Good,0.379778502,288481,0,South Annestad,OK,Hungary,0,0,Medium,,
56,Male,PhD,Married,93501,732,32703,Personal,Unemployed,1,Fair,0.467830195,205766,1,Port Jean,SD,Fiji,3,2,Low,,
60,Female,Bachelor's,Single,116421,687,40243,Auto,Self-employed,11,Poor,0.325339024,204050,1,East Wendy,DC,South Georgia and the South Sandwich Islands,3,2,Low,,
69,Male,Bachelor's,Single,33432,693,8033,Home,Self-employed,6,Good,0.536629691,199596,0,East Sheryltown,VI,Togo,0,0,Low,,
58,Non-binary,High School,Widowed,111145,607,22335,Business,Unemployed,19,Good,0.54656478,231688,2,Hartfurt,FL,Burundi,2,0,High,,
66,Male,High School,Single,47215,697,14145,Auto,Self-employed,1,Good,0.193780042,276596,3,North Antonioport,AR,Bahamas,1,0,Low,,
48,Female,PhD,Divorced,65594,653,14737,Personal,Self-employed,5,Poor,0.248074184,237316,4,South Debbie,WY,Nicaragua,4,1,High,,
51,Non-binary,High School,Married,47655,646,30282,Home,Employed,12,Good,0.425875012,27106,1,Morganshire,GU,Comoros,2,0,Medium,,
46,Female,PhD,Married,100198,662,22267,Business,Unemployed,3,Good,0.178030765,99140,4,North Mary,FM,Vietnam,1,2,Low,,
20,Non-binary,Master's,Single,103279,727,32993,Home,Self-employed,0,Poor,0.378859928,283771,3,North Roberta,OH,Nepal,4,1,Low,,
20,Male,PhD,Divorced,71044,773,6383,Business,Employed,3,Good,0.491272177,125569,4,North Gregory,DC,Guinea-Bissau,0,1,Low,,
46,Non-binary,Bachelor's,Single,21861,678,33820,Home,Unemployed,13,Good,0.288728291,282396,4,Maryside,NV,Lithuania,3,2,Medium,,
21,Non-binary,Master's,Divorced,66873,688,11140,Auto,Unemployed,15,Good,0.424667714,219075,0,Jensenshire,MH,Tunisia,2,0,Medium,,
35,Non-binary,PhD,Single,111810,759,42895,Home,Employed,7,Good,0.223372115,65951,1,Alvarezshire,MS,Marshall Islands,0,2,Medium,,
34,Female,PhD,Single,54047,785,21927,Personal,Self-employed,19,Excellent,0.368595387,76977,4,Christopherhaven,IA,Estonia,4,0,High,,
21,Non-binary,Master's,Single,76965,706,47145,Business,Unemployed,16,Good,0.376451139,126672,3,West Joseph,VT,Pitcairn Islands,0,1,Low,,
23,Male,Bachelor's,Divorced,40645,751,16602,Auto,Self-employed,6,Fair,0.546394552,36387,1,Carlmouth,PA,Honduras,4,2,High,,
58,Non-binary,PhD,Married,46648,647,40517,Home,Employed,4,Good,0.101185698,155958,2,South Madisonmouth,NY,Mexico,1,0,Medium,,
50,Non-binary,Master's,Single,114333,797,20271,Business,Unemployed,16,Good,0.532445596,74777,4,Robinsonborough,MP,Korea,1,1,Medium,,
21,Female,High School,Divorced,38290,706,36106,Home,Self-employed,13,Poor,0.201694756,147177,1,New Ashleyport,KS,Holy See (Vatican City State),3,0,High,,
45,Male,High School,Married,21595,684,33793,Home,Employed,14,Good,0.508699525,76243,0,Henrymouth,OK,Guyana,3,2,Medium,,
46,Female,High School,Married,64518,725,5555,Personal,Unemployed,4,Fair,0.190185853,273697,4,South Derek,MA,Bolivia,3,0,Low,,
67,Non-binary,Master's,Widowed,58718,749,47750,Home,Self-employed,5,Poor,0.133949013,281099,4,Annafurt,GU,Ethiopia,1,2,High,,
57,Female,High School,Widowed,32699,783,48124,Personal,Self-employed,10,Good,0.215574796,112764,0,South Michael,NV,Saint Pierre and Miquelon,4,0,Low,,
33,Non-binary,PhD,Married,111641,606,35172,Personal,Unemployed,9,Fair,0.311231567,178400,2,Perezstad,VI,Switzerland,2,0,Low,,
50,Non-binary,PhD,Widowed,62707,726,28892,Auto,Employed,7,Excellent,0.373131888,194467,4,Gloriaport,PR,Vanuatu,3,2,High,,
52,Non-binary,Bachelor's,Married,23212,614,30607,Business,Unemployed,18,Excellent,0.135402288,213234,2,Sanchezmouth,PA,Mexico,4,1,Low,,
38,Male,Bachelor's,Divorced,116554,707,13337,Personal,Employed,16,Fair,0.491658399,268802,4,Stephenport,PA,Kiribati,0,1,Low,,
49,Non-binary,High School,Divorced,32442,799,5139,Home,Self-employed,14,Excellent,0.329662782,63555,4,Lake Raymond,MN,Syrian Arab Republic,1,2,Low,,
22,Female,Bachelor's,Divorced,45028,647,25723,Personal,Self-employed,5,Poor,0.498961108,228645,0,Karaton,CO,Papua New Guinea,2,0,Low,,
54,Female,Master's,Divorced,32842,631,10921,Home,Self-employed,8,Fair,0.500843265,267154,3,North Jeff,MP,Jersey,1,1,High,,
37,Non-binary,High School,Widowed,87557,765,21613,Auto,Employed,6,Excellent,0.574029674,164106,3,Shepherdstad,OR,Equatorial Guinea,0,2,Medium,,
38,Non-binary,Master's,Married,58101,722,16140,Auto,Self-employed,7,Fair,0.542323567,50782,4,New Samantha,MO,Botswana,0,2,Low,,
43,Non-binary,Bachelor's,Divorced,65638,748,25289,Home,Unemployed,18,Fair,0.230280247,161358,0,Amberbury,NE,Holy See (Vatican City State),2,2,Low,,
27,Male,Bachelor's,Married,82580,772,21881,Auto,Unemployed,5,Good,0.304266366,287630,3,Lake Peggyfort,SD,Saint Lucia,1,1,Low,,
36,Non-binary,PhD,Single,20637,759,26092,Auto,Self-employed,19,Excellent,0.229620169,47219,1,Shieldschester,DC,Norfolk Island,3,1,Low,,
38,Male,Master's,Married,101223,796,46034,Auto,Employed,11,Excellent,0.140698667,287869,2,East Ericberg,MO,Northern Mariana Islands,0,1,Low,,
43,Non-binary,PhD,Widowed,80521,762,20098,Auto,Employed,5,Poor,0.549702831,285998,4,New Jessicaland,NV,Netherlands Antilles,4,0,Low,,
32,Male,Master's,Married,48428,745,39520,Auto,Unemployed,5,Fair,0.355585499,248853,4,Heatherview,DE,Micronesia,2,1,Medium,,
51,Male,Bachelor's,Widowed,26733,731,29490,Auto,Employed,7,Fair,0.200261305,134961,0,Port Nathan,MT,Georgia,3,1,Medium,,
40,Female,Bachelor's,Widowed,106388,737,9556,Auto,Self-employed,18,Excellent,0.555997076,210330,1,Davidmouth,IN,Turks and Caicos Islands,1,0,Low,,
58,Non-binary,High School,Single,109934,793,32385,Personal,Self-employed,8,Good,0.170329779,144707,3,Masonview,IL,Burkina Faso,3,0,Low,,
67,Male,Bachelor's,Single,22093,696,12166,Home,Employed,13,Fair,0.211451155,26942,1,Courtneyton,AL,Anguilla,3,2,Low,,
34,Male,PhD,Widowed,93694,711,30914,Business,Employed,18,Poor,0.52715049,111321,2,Christinefort,PR,Seychelles,1,1,Medium,,
64,Non-binary,Master's,Single,107688,782,40832,Personal,Unemployed,18,Poor,0.399191486,288326,1,Lake Derrick,CA,Greece,4,0,Low,,
35,Non-binary,Master's,Married,70460,750,28696,Home,Unemployed,1,Poor,0.536319078,95241,2,Pattonside,NV,Norway,0,0,Low,,
46,Male,Master's,Married,82002,789,31194,Auto,Unemployed,16,Excellent,0.221952545,214030,1,New Wesleychester,MP,Croatia,3,2,Low,,
36,Non-binary,High School,Single,38313,703,49628,Business,Employed,2,Excellent,0.528608781,154234,2,Lake Frankfurt,VA,Israel,2,2,Medium,,
54,Female,Master's,Divorced,92053,724,44847,Business,Unemployed,19,Poor,0.480893908,254938,0,Murrayborough,OK,Lebanon,4,2,High,,
64,Male,PhD,Widowed,99455,741,16999,Home,Employed,19,Poor,0.579099931,260021,4,South Jennifer,MI,Dominica,1,1,Low,,
67,Female,Master's,Widowed,78975,648,35224,Home,Unemployed,16,Good,0.395844212,21677,4,Port Annetteport,VI,Indonesia,1,0,Medium,,
53,Non-binary,Bachelor's,Widowed,92126,788,33036,Business,Self-employed,8,Fair,0.565332389,124822,1,Edwardsfurt,FM,French Southern Territories,3,2,Low,,
54,Male,High School,Single,66996,725,32328,Personal,Self-employed,13,Poor,0.389517172,89086,1,Huynhhaven,NJ,Gibraltar,0,0,Low,,
31,Female,High School,Widowed,111450,723,26871,Personal,Employed,6,Fair,0.260462347,153835,0,South Roger,TN,Saint Helena,3,1,Medium,,
36,Male,Master's,Divorced,52022,624,21773,Auto,Unemployed,18,Excellent,0.546508167,207403,3,Longton,VA,Croatia,4,1,Low,,
38,Non-binary,PhD,Single,77268,738,15657,Home,Self-employed,14,Fair,0.515117643,146043,3,South Jonathanside,IL,Bolivia,1,2,Low,,
62,Male,Master's,Widowed,98101,606,22766,Personal,Unemployed,19,Good,0.448468982,265628,2,North Luisborough,MH,Greece,1,1,Low,,
46,Female,PhD,Widowed,106424,727,24873,Personal,Unemployed,0,Poor,0.223794213,141289,2,East Monica,NY,United Kingdom,2,1,Medium,,
25,Female,Master's,Married,37077,668,23098,Auto,Employed,15,Excellent,0.145931173,105074,4,Lake Amanda,OH,Peru,0,0,Low,,
41,Male,High School,Widowed,99756,654,23446,Business,Self-employed,4,Poor,0.441369535,288041,2,Jasonside,ND,Togo,1,1,Medium,,
20,Non-binary,PhD,Divorced,99783,746,44373,Business,Unemployed,5,Excellent,0.542396965,280776,1,Johnsonborough,NE,Hungary,3,2,High,,
49,Female,PhD,Divorced,75372,671,22270,Business,Unemployed,2,Good,0.511263619,256522,1,Christopherport,WI,Pitcairn Islands,3,1,Low,,
52,Non-binary,Master's,Widowed,53012,681,43715,Business,Employed,3,Excellent,0.288275855,209640,1,Port Daniel,IL,Equatorial Guinea,3,2,Low,,
59,Non-binary,PhD,Divorced,54482,733,35748,Business,Self-employed,12,Poor,0.188123027,84663,3,Lake Stevenview,CA,Canada,3,0,High,,
37,Non-binary,Bachelor's,Married,98872,714,37954,Home,Unemployed,11,Poor,0.34581853,292705,0,Gordonfort,CT,Korea,1,1,Medium,,
31,Female,PhD,Married,23389,746,29569,Business,Self-employed,7,Good,0.493573478,256573,0,South Richard,MT,Sudan,4,0,Low,,
20,Non-binary,High School,Single,82607,651,23297,Personal,Unemployed,5,Good,0.42101413,85412,1,Rothbury,HI,Jersey,0,1,Medium,,
19,Male,Bachelor's,Single,39171,796,48422,Auto,Unemployed,12,Good,0.552655574,207100,0,Leeport,SD,Afghanistan,3,1,Low,,
43,Female,PhD,Widowed,73105,787,35090,Business,Unemployed,17,Excellent,0.515755962,84531,4,Nicholsonside,MS,Maldives,1,1,Medium,,
18,Non-binary,Master's,Married,29514,768,41301,Personal,Employed,1,Excellent,0.1845797,202982,2,East Darleneville,TN,Morocco,1,0,High,,
47,Non-binary,High School,Married,101876,667,8577,Business,Self-employed,8,Fair,0.31520147,48668,4,North Stephanie,MN,Turkmenistan,2,2,Medium,,
59,Non-binary,High School,Divorced,94500,773,44241,Auto,Self-employed,11,Fair,0.307518023,83317,3,Gallegosstad,VI,Gambia,3,2,Medium,,
65,Non-binary,Master's,Widowed,57126,605,9655,Auto,Employed,1,Fair,0.48286979,82449,1,East Alexanderfort,NM,Colombia,3,0,High,,
42,Female,Master's,Divorced,66647,799,27642,Home,Unemployed,2,Excellent,0.280181195,34500,3,East James,AL,Montenegro,2,1,Medium,,
50,Female,High School,Single,79185,625,34304,Business,Unemployed,18,Poor,0.308190339,282474,0,Ericton,SD,Gambia,3,1,Low,,
68,Non-binary,Bachelor's,Divorced,85642,685,5426,Business,Self-employed,1,Good,0.483027786,26444,1,Claytonmouth,RI,Seychelles,1,1,Low,,
26,Male,Master's,Divorced,92592,662,8141,Business,Employed,15,Poor,0.182564773,260815,1,Lake Lisa,OR,Bermuda,3,1,Low,,
48,Female,PhD,Widowed,61444,707,37605,Home,Unemployed,8,Fair,0.216876672,130324,4,North Bryanside,GU,Burkina Faso,2,1,Medium,,
49,Male,Bachelor's,Widowed,100291,716,16304,Personal,Unemployed,12,Poor,0.268318653,207452,3,Austinville,MO,Latvia,4,2,Low,,
22,Male,PhD,Divorced,97585,637,38246,Business,Unemployed,6,Good,0.184557482,210894,2,South Monique,WV,Christmas Island,3,2,Medium,,
60,Male,Master's,Married,87863,614,18199,Auto,Unemployed,1,Fair,0.551102683,121044,3,South Austinville,VI,Saint Martin,1,2,Medium,,
62,Female,PhD,Widowed,101071,705,40915,Business,Unemployed,11,Excellent,0.456925534,95761,3,Lake Alexanderborough,KY,Malawi,2,2,Low,,
49,Female,Bachelor's,Divorced,58210,636,44957,Business,Employed,14,Poor,0.432790135,240190,0,Blankenshipport,AK,Jordan,0,0,High,,
35,Male,PhD,Married,44111,626,17397,Home,Unemployed,4,Good,0.524843688,261341,0,Simmonsbury,IA,Comoros,3,2,Low,,
43,Female,Master's,Married,89610,793,13882,Personal,Self-employed,19,Fair,0.169835712,246389,1,Ellisfurt,MD,Trinidad and Tobago,1,1,Low,,
65,Non-binary,Bachelor's,Widowed,72485,765,20121,Business,Employed,3,Fair,0.314336385,46067,4,Port Jonathonbury,CA,Germany,4,1,Low,,
57,Female,Master's,Single,36639,614,32708,Auto,Employed,17,Fair,0.109953266,265510,1,Jenniferstad,MP,Bermuda,2,0,Medium,,
50,Male,PhD,Married,91591,667,23082,Home,Employed,8,Poor,0.541358495,31637,1,New Jacqueline,OH,French Guiana,4,1,Low,,
62,Male,PhD,Married,77225,657,23888,Personal,Unemployed,5,Excellent,0.512411025,89717,4,Hendersonshire,KY,Costa Rica,2,0,Low,,
44,Female,Master's,Widowed,102341,711,46730,Auto,Unemployed,10,Excellent,0.183470552,191742,3,Lake Joseph,NJ,Switzerland,4,0,Medium,,
59,Non-binary,PhD,Married,21120,627,11413,Auto,Employed,18,Excellent,0.597277435,152572,3,Rachelview,NY,Bulgaria,1,2,Medium,,
58,Male,Master's,Divorced,55764,655,18034,Auto,Employed,4,Excellent,0.199215265,275059,0,Wrightberg,ND,Albania,3,0,Low,,
21,Female,Master's,Widowed,83763,696,36811,Personal,Employed,15,Poor,0.471861815,242953,0,East Erichaven,OR,Kenya,0,0,Low,,
44,Male,High School,Divorced,27923,727,29780,Personal,Self-employed,8,Good,0.176205199,256871,1,West Andrewchester,VT,Holy See (Vatican City State),1,2,Medium,,
48,Female,Master's,Married,88324,649,31306,Business,Employed,19,Fair,0.568077922,162981,1,Williamsland,FM,Czech Republic,4,2,High,,
32,Female,Bachelor's,Single,95664,733,41302,Home,Employed,17,Good,0.218726353,181910,4,Guzmanberg,OK,Switzerland,3,0,Medium,,
55,Male,High School,Widowed,96369,728,41100,Auto,Unemployed,3,Fair,0.504727403,153075,0,Kingside,NJ,Venezuela,2,0,High,,
58,Female,High School,Divorced,102787,715,5011,Personal,Self-employed,10,Poor,0.182478564,85144,0,Michelleland,IL,Sri Lanka,3,2,Medium,,
55,Female,High School,Divorced,87462,600,42273,Personal,Employed,9,Fair,0.506882595,191362,4,Curtisville,CO,Philippines,3,1,Medium,,
50,Female,PhD,Divorced,103290,635,9047,Home,Self-employed,13,Excellent,0.367672945,204726,2,East Courtney,NY,Finland,3,0,Low,,
40,Non-binary,PhD,Widowed,21085,683,37143,Home,Self-employed,17,Fair,0.558518281,167457,4,Jamieton,TN,New Zealand,3,1,Low,,
33,Non-binary,Bachelor's,Divorced,96680,722,39609,Personal,Unemployed,4,Poor,0.173022078,270426,3,Anthonyside,CO,Spain,4,2,Medium,,
52,Non-binary,Bachelor's,Single,59935,733,27917,Business,Self-employed,9,Fair,0.254632421,84796,3,Alisonfort,CO,Dominican Republic,1,0,Medium,,
18,Male,PhD,Single,102162,787,9257,Auto,Self-employed,13,Good,0.450918797,124304,3,Nealburgh,DE,American Samoa,4,1,Low,,
25,Non-binary,PhD,Married,94543,654,45729,Auto,Employed,17,Excellent,0.525099074,221495,3,Smithtown,PR,Sierra Leone,4,1,Low,,
63,Female,High School,Widowed,68469,791,10648,Personal,Self-employed,5,Excellent,0.192010997,161967,4,Port Dean,ND,Tajikistan,1,1,Low,,
68,Female,Bachelor's,Single,85875,734,31832,Business,Unemployed,14,Poor,0.344082108,296084,2,North Ashleeburgh,MS,Kyrgyz Republic,0,2,Medium,,
58,Male,PhD,Married,26294,694,45476,Personal,Self-employed,16,Good,0.389777809,289226,1,Austinfort,KY,Greenland,3,1,Medium,,
50,Non-binary,Bachelor's,Divorced,87507,791,28989,Auto,Self-employed,15,Poor,0.466499443,129479,3,West Kaitlynchester,GU,Cote d'Ivoire,3,0,Low,,
27,Non-binary,PhD,Widowed,109966,603,40669,Personal,Self-employed,9,Good,0.228442744,162749,4,North John,IN,Cyprus,0,1,Low,,
38,Female,Bachelor's,Married,29585,620,14235,Business,Employed,11,Fair,0.520241791,252818,0,Port Marcusland,DE,Haiti,1,2,Medium,,
29,Male,Bachelor's,Divorced,60409,757,19914,Auto,Self-employed,9,Fair,0.33264991,190318,4,Port Jonathanhaven,CT,Tokelau,1,2,Low,,
